index,Date,product_group,dispatches_SellIn,orders_SellIn,SellOut,promo,hyp_promo,type_promo_1,type_promo_2,sin_dayofyear,cos_dayofyear,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9
253,2016-10-02,Product_04,9538,9538,3692,61.1,0.0,0.0,0.0,-0.9992500112396835,0.03872228089217399,-0.86162811859991,-0.14650766761493364,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986
259,2016-10-02,Product_11,424,424,319,0.1,0.0,0.0,0.0,-0.9992500112396835,0.03872228089217399,-0.04507753448445021,-2.0978828234005286e-05,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643
264,2016-10-02,Product_17,365,365,389,1.5,0.0,0.0,0.0,-0.9992500112396835,0.03872228089217399,-0.09402865432783972,-0.00019040634951582525,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831
275,2016-10-02,Product_32,1555,1555,1209,68.5,61.84971098265896,1.0,1.0,-0.9992500112396835,0.03872228089217399,-0.2766290936197483,-0.001871332190243372,-0.022752251045742317,-0.022752251045742317,-0.022752251045742317,-0.022752251045742317,-0.022752251045742317,-0.022752251045742317,-0.022752251045742317,-0.022752251045742317
286,2016-10-09,Product_04,6247,6247,3927,61.0,0.0,0.0,0.0,-0.9873494423939864,0.15855938510313475,-0.86162811859991,-0.14650766761493364,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986
292,2016-10-09,Product_11,912,912,274,0.3,0.0,0.0,0.0,-0.9873494423939864,0.15855938510313475,-0.04507753448445021,-2.0978828234005286e-05,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643
297,2016-10-09,Product_17,911,911,390,9.0,0.0,0.0,0.0,-0.9873494423939864,0.15855938510313475,-0.09402865432783972,-0.00019040634951582525,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831
308,2016-10-09,Product_32,1005,1005,475,1.8,0.0,0.0,0.0,-0.9873494423939864,0.15855938510313475,-0.1718605253866101,-0.0011625969242055978,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932
319,2016-10-16,Product_04,4080,4184,4286,12.2,0.0,0.0,0.0,-0.9611297838723007,0.27609697309746883,-0.86162811859991,-0.14650766761493364,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986
325,2016-10-16,Product_11,584,584,299,0.1,0.0,0.0,0.0,-0.9611297838723007,0.27609697309746883,-0.04507753448445021,-2.0978828234005286e-05,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643
330,2016-10-16,Product_17,487,487,409,7.800000000000002,0.0,0.0,0.0,-0.9611297838723007,0.27609697309746883,-0.09402865432783972,-0.00019040634951582525,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831
341,2016-10-16,Product_32,745,745,492,0.9,0.0,0.0,0.0,-0.9611297838723007,0.27609697309746883,-0.1718605253866101,-0.0011625969242055978,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932
352,2016-10-23,Product_04,3699,3699,8726,91.8,94.21965317919076,1.0,1.0,-0.9209712877166346,0.38963044953078774,-1.6617912999090887,-0.2825640925090565,-0.6852463430024687,-0.6852463430024687,-0.6852463430024687,-0.6852463430024687,-0.6852463430024687,-0.6852463430024687,-0.6852463430024687,-0.6852463430024687
358,2016-10-23,Product_11,550,550,282,0.3,0.0,0.0,0.0,-0.9209712877166346,0.38963044953078774,-0.04507753448445021,-2.0978828234005286e-05,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643
363,2016-10-23,Product_17,523,523,424,8.0,0.0,0.0,0.0,-0.9209712877166346,0.38963044953078774,-0.09402865432783972,-0.00019040634951582525,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831
374,2016-10-23,Product_32,349,349,487,1.4,0.0,0.0,0.0,-0.9209712877166346,0.38963044953078774,-0.1718605253866101,-0.0011625969242055978,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932
385,2016-10-30,Product_04,1745,1745,4323,12.0,0.0,0.0,0.0,-0.8674563547295971,0.4975132889071803,-0.86162811859991,-0.14650766761493364,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986
